iter	Passed	Remaining
162	243	1248
163	244	1248
164	246	1245
165	247	1243
166	248	1241
167	250	1238
168	251	1236
169	252	1234
170	254	1232
171	255	1230
172	256	1228
173	258	1226
174	259	1224
175	261	1222
176	262	1219
177	263	1218
178	265	1215
179	266	1214
180	267	1212
181	269	1210
182	270	1208
183	272	1206
184	273	1204
185	274	1202
186	276	1201
187	277	1199
188	279	1197
189	280	1195
190	281	1193
191	283	1191
192	284	1189
193	285	1187
194	287	1185
195	288	1183
196	289	1180
197	291	1179
198	292	1177
199	293	1175
200	295	1173
201	296	1171
202	297	1169
203	299	1167
204	300	1165
205	301	1163
206	303	1161
207	304	1159
208	305	1157
209	307	1155
210	308	1153
211	309	1151
212	311	1150
213	316	1163
214	318	1161
215	319	1159
216	321	1158
217	322	1156
218	323	1154
219	325	1152
220	326	1150
221	327	1148
222	329	1146
223	330	1144
224	331	1142
225	333	1141
226	334	1139
227	335	1137
228	337	1135
229	338	1134
230	340	1132
231	341	1131
232	343	1129
233	344	1127
234	345	1125
235	347	1123
236	348	1121
237	349	1119
238	351	1118
239	352	1116
240	354	1115
241	355	1113
242	356	1111
243	358	1109
244	359	1108
245	360	1106
246	362	1104
247	363	1102
248	365	1101
249	366	1099
250	367	1097
251	369	1095
252	370	1093
253	371	1091
254	373	1090
255	374	1088
256	375	1086
257	377	1084
258	378	1083
259	379	1081
260	381	1079
261	382	1077
262	383	1075
263	385	1074
264	386	1072
265	388	1071
266	389	1069
267	390	1067
268	392	1065
269	393	1064
270	394	1062
271	396	1061
272	397	1059
273	399	1057
274	400	1056
275	401	1054
276	403	1052
277	404	1050
278	406	1049
279	407	1047
280	408	1045
281	410	1044
282	411	1042
283	412	1040
284	414	1040
285	416	1039
286	417	1037
287	418	1035
288	420	1034
289	421	1032
290	423	1030
291	424	1029
292	425	1027
293	427	1025
294	428	1024
295	429	1022
296	431	1020
297	432	1019
298	434	1018
299	435	1016
300	437	1015
301	438	1013
302	439	1011
303	441	1010
304	442	1008
305	443	1006
306	445	1005
307	446	1003
308	447	1001
309	449	1001
310	451	1000
311	452	998
312	454	997
313	455	995
314	456	993
315	458	992
316	459	990
317	461	989
318	462	988
319	464	986
320	465	984
321	467	983
322	468	981
323	469	980
324	471	978
325	472	976
326	473	975
327	475	973
328	476	971
329	477	970
330	480	970
331	494	994
332	497	996
333	500	997
334	503	998
335	506	1000
336	509	1001
337	521	1021
338	532	1037
339	533	1035
340	534	1033
341	536	1031
342	537	1029
343	538	1027
344	540	1027
345	542	1024
346	543	1022
347	544	1021
348	546	1019
349	547	1017
350	549	1015
351	550	1013
352	551	1011
353	553	1010
354	555	1008
355	556	1006
356	557	1004
357	559	1002
358	560	1000
359	561	998
360	563	996
361	564	995
362	565	993
363	567	991
364	568	989
365	569	987
366	571	985
367	572	983
368	574	981
369	575	979
370	576	977
371	578	975
372	579	973
373	580	972
374	582	970
375	583	968
376	584	966
377	586	964
378	587	962
379	588	960
380	590	959
381	591	957
382	593	955
383	594	953
384	595	951
385	597	950
386	598	948
387	599	946
388	601	944
389	602	942
390	603	940
391	605	938
392	607	938
393	608	936
394	610	934
395	611	932
396	612	931
397	614	929
398	615	927
399	616	925
400	618	923
401	619	921
402	621	920
403	622	918
404	623	916
405	625	914
406	626	913
407	628	911
408	629	909
409	630	907
410	632	906
411	633	904
412	634	902
413	636	900
414	637	898
415	639	897
416	640	895
417	641	893
418	643	891
419	644	889
420	645	888
421	647	886
422	648	884
423	649	882
424	651	881
425	652	879
426	653	877
427	655	875
428	656	874
429	658	872
430	659	870
431	660	868
432	662	866
433	663	865
434	664	863
435	666	861
436	667	859
437	668	858
438	670	856
439	671	854
440	673	853
441	674	851
442	675	849
443	677	848
444	678	846
445	679	844
446	681	842
447	683	841
448	684	840
449	685	838
450	687	836
451	688	834
452	689	833
453	691	831
454	692	829
455	694	828
456	695	826
457	696	824
458	698	823
459	699	821
460	700	819
461	702	817
462	703	816
463	704	814
464	706	812
465	708	812
466	710	810
467	711	808
468	713	807
469	714	805
470	716	804
471	717	802
472	719	801
473	721	801
474	724	800
475	725	798
476	726	797
477	728	795
478	729	793
479	730	791
480	732	790
481	733	788
482	734	786
483	736	784
484	737	783
485	739	781
486	740	779
487	741	778
488	743	776
489	744	775
490	746	773
491	747	771
492	748	770
493	750	768
494	751	766
495	752	764
496	754	763
497	755	761
498	756	759
499	758	758
500	759	756
501	760	754
502	762	753
503	763	751
504	765	749
505	766	748
506	767	746
507	769	744
508	770	743
509	771	741
510	772	739
511	774	738
512	775	736
513	776	734
514	778	732
515	779	731
516	780	729
517	782	727
518	783	726
519	784	724
520	785	722
521	787	720
522	788	719
523	789	717
524	791	715
525	792	714
526	793	712
527	794	710
528	796	708
529	797	707
530	798	705
531	800	703
532	801	702
533	802	700
534	803	698
535	805	697
536	806	695
537	808	693
538	809	692
539	810	690
540	811	688
541	813	687
542	814	685
543	817	684
544	818	683
545	820	682
546	822	681
547	824	680
548	826	678
549	828	677
550	830	676
551	831	675
552	833	673
553	835	672
554	837	671
555	839	670
556	841	668
557	842	667
558	844	666
559	846	665
560	848	663
561	850	662
562	852	661
563	853	660
564	855	658
565	857	657
566	859	656
567	861	654
568	863	653
569	864	652
570	866	651
571	868	649
572	869	648
573	871	646
574	873	645
575	875	644
576	876	642
577	878	641
578	880	640
579	882	638
580	883	637
581	886	636
582	888	635
583	889	633
584	891	632
585	893	631
586	895	629
587	896	628
588	898	626
589	900	625
590	901	624
591	903	622
592	905	621
593	906	619
594	908	618
595	910	616
596	911	615
597	913	614
598	915	613
599	917	611
600	919	610
601	920	608
602	922	607
603	924	606
604	926	604
605	928	603
606	930	602
607	932	601
608	934	600
609	936	598
610	938	597
611	940	595
612	941	594
613	943	593
614	945	592
615	948	591
616	950	589
617	952	588
618	954	587
619	956	586
620	958	584
621	960	583
622	961	582
623	963	580
624	965	579
625	967	578
626	969	576
627	971	575
628	973	574
629	975	572
630	978	572
631	980	571
632	983	570
633	985	568
634	986	567
635	988	565
636	991	564
637	992	563
638	994	561
639	996	560
640	999	559
641	1001	558
642	1003	557
643	1005	555
644	1006	554
645	1008	552
646	1010	551
647	1012	549
648	1014	548
649	1016	547
650	1017	545
651	1019	544
652	1021	542
653	1023	541
654	1024	539
655	1026	538
656	1027	536
657	1029	535
658	1031	533
659	1032	532
660	1034	530
661	1036	529
662	1037	527
663	1039	525
664	1041	524
665	1042	522
666	1044	521
667	1045	519
668	1047	518
669	1049	516
670	1051	515
671	1053	514
672	1055	512
673	1058	511
674	1060	510
675	1062	509
676	1064	507
677	1066	506
678	1069	505
679	1071	504
680	1073	502
681	1076	502
682	1079	501
683	1081	499
684	1087	499
685	1091	499
686	1094	498
687	1099	498
688	1101	497
689	1103	495
690	1104	494
691	1106	492
692	1107	490
693	1109	489
694	1111	487
695	1112	485
696	1114	484
697	1115	482
698	1119	482
699	1121	480
700	1123	479
701	1124	477
702	1126	475
703	1128	474
704	1129	472
705	1131	471
706	1133	469
707	1134	468
708	1136	466
709	1138	464
710	1139	463
711	1141	461
712	1143	460
713	1145	458
714	1148	457
715	1151	456
716	1153	455
717	1155	453
718	1156	452
719	1158	450
720	1159	448
721	1161	447
722	1163	445
723	1166	444
724	1168	443
725	1170	441
726	1171	439
727	1172	438
728	1174	436
729	1175	434
730	1176	432
731	1177	431
732	1179	429
733	1180	427
734	1181	426
735	1183	424
736	1184	422
737	1185	420
738	1186	419
739	1188	417
740	1189	415
741	1191	414
742	1192	412
743	1194	411
744	1196	409
745	1197	407
746	1198	406
747	1200	404
748	1201	402
749	1202	400
750	1204	399
751	1205	397
752	1206	395
753	1207	394
754	1209	392
755	1210	390
756	1212	389
757	1213	387
758	1214	385
759	1215	383
760	1217	382
761	1218	380
762	1219	378
763	1220	377
764	1222	375
765	1223	373
766	1225	372
767	1226	370
768	1227	368
769	1228	367
770	1230	365
771	1231	363
772	1232	362
773	1234	360
774	1235	358
775	1236	357
776	1238	355
777	1239	353
778	1240	351
779	1241	350
780	1243	348
781	1244	346
782	1245	345
783	1246	343
784	1248	341
785	1249	340
786	1250	338
787	1252	336
788	1253	335
789	1254	333
790	1255	331
791	1257	330
792	1258	328
793	1263	327
794	1265	326
795	1267	324
796	1268	323
797	1269	321
798	1271	319
799	1272	318
800	1273	316
801	1275	314
802	1276	313
803	1277	311
804	1278	309
805	1280	308
806	1281	306
807	1282	304
808	1284	303
809	1285	301
810	1287	300
811	1288	298
812	1290	296
813	1292	295
814	1293	293
815	1294	291
816	1296	290
817	1297	288
818	1298	287
819	1300	285
820	1301	283
821	1302	282
822	1304	280
823	1305	278
824	1306	277
825	1307	275
826	1309	273
827	1310	272
828	1311	270
829	1313	268
830	1314	267
831	1315	265
832	1316	264
833	1318	262
834	1319	260
835	1320	259
836	1322	257
837	1323	255
838	1324	254
839	1325	252
840	1327	250
841	1328	249
842	1329	247
843	1331	246
844	1333	244
845	1335	243
846	1336	241
847	1338	239
848	1340	238
849	1341	236
850	1343	235
851	1345	233
852	1346	232
853	1348	230
854	1350	229
855	1352	227
856	1354	225
857	1356	224
858	1357	222
859	1358	221
860	1359	219
861	1361	217
862	1364	216
863	1365	215
864	1367	213
865	1369	211
866	1370	210
867	1372	208
868	1373	207
869	1374	205
870	1376	203
871	1377	202
872	1378	200
873	1380	198
874	1381	197
875	1383	195
876	1384	194
877	1385	192
878	1387	190
879	1389	189
880	1390	187
881	1391	186
882	1393	184
883	1394	182
884	1395	181
885	1396	179
886	1398	178
887	1399	176
888	1400	174
889	1402	173
890	1403	171
891	1404	170
892	1406	168
893	1407	166
894	1408	165
895	1410	163
896	1411	162
897	1412	160
898	1414	158
899	1415	157
900	1416	155
901	1417	154
902	1419	152
903	1420	150
904	1421	149
905	1423	147
906	1424	146
907	1425	144
908	1427	142
909	1428	141
910	1429	139
911	1431	138
912	1432	136
913	1433	134
914	1435	133
915	1436	131
916	1437	130
917	1438	128
918	1440	126
919	1441	125
920	1442	123
921	1444	122
922	1445	120
923	1446	118
924	1448	117
925	1449	115
926	1450	114
927	1451	112
928	1453	111
929	1454	109
930	1455	107
931	1457	106
932	1458	104
933	1459	103
934	1460	101
935	1462	99
936	1463	98
937	1464	96
938	1466	95
939	1467	93
940	1468	92
941	1469	90
942	1471	88
943	1472	87
944	1474	85
945	1475	84
946	1476	82
947	1478	81
948	1479	79
949	1480	77
950	1482	76
951	1483	74
952	1484	73
953	1487	71
954	1488	70
955	1489	68
956	1490	66
957	1492	65
958	1493	63
959	1494	62
960	1496	60
961	1497	59
962	1498	57
963	1500	56
964	1501	54
965	1502	52
966	1504	51
967	1505	49
968	1506	48
969	1508	46
970	1509	45
971	1510	43
972	1511	41
973	1513	40
974	1514	38
975	1515	37
976	1517	35
977	1518	34
978	1519	32
979	1521	31
980	1522	29
981	1523	27
982	1525	26
983	1526	24
984	1527	23
985	1528	21
986	1530	20
987	1531	18
988	1532	17
989	1534	15
990	1535	13
991	1536	12
992	1538	10
993	1539	9
994	1540	7
995	1541	6
996	1543	4
997	1544	3
998	1546	1
999	1548	0
