iter	Logloss
144	0.3805949522
145	0.3797937994
146	0.3785990653
147	0.3779624483
148	0.3770844295
149	0.375866823
150	0.3753851766
151	0.3742455623
152	0.3734692897
153	0.3722201837
154	0.3713227539
155	0.3703989009
156	0.3695630609
157	0.3688049108
158	0.3677062707
159	0.3669164125
160	0.366371579
161	0.3656449829
162	0.3648515095
163	0.3639944388
164	0.3630204717
165	0.3618456043
166	0.3609869799
167	0.3603335502
168	0.359474278
169	0.3591033111
170	0.3581664151
171	0.3571811222
172	0.3566562939
173	0.3559191595
174	0.3544209143
175	0.3537639458
176	0.352778916
177	0.3522115385
178	0.3516237415
179	0.3511283858
180	0.350888578
181	0.3501198889
182	0.349151435
183	0.3484980819
184	0.3478839678
185	0.3473621318
186	0.3469233461
187	0.3462471642
188	0.3453126916
189	0.3445329049
190	0.3436887505
191	0.3431691674
192	0.3424942774
193	0.3418182481
194	0.3410184872
195	0.3404407838
196	0.3399146219
197	0.3394118855
198	0.3387810761
199	0.3382340431
200	0.3375675719
201	0.3367993306
202	0.3358681596
203	0.3354003291
204	0.3350091862
205	0.3344825668
206	0.333835823
207	0.3332255266
208	0.3328631343
209	0.3322269971
210	0.331655073
211	0.3307742793
212	0.3298908366
213	0.3292311146
214	0.3281942769
215	0.3274795605
216	0.3261942768
217	0.3255760207
218	0.325006185
219	0.3242482406
220	0.3236401728
221	0.3231571924
222	0.3225161746
223	0.3217724878
224	0.3211976022
225	0.3204094276
226	0.3198869881
227	0.3192732582
228	0.3183481416
229	0.3178253661
230	0.3172441093
231	0.3166687233
232	0.3162088204
233	0.3156517623
234	0.3152360397
235	0.3148781909
236	0.3142506413
237	0.3133530648
238	0.3130099414
239	0.3123263263
240	0.3113995097
241	0.3109131257
242	0.3103118499
243	0.3096342606
244	0.3088715266
245	0.3078481098
246	0.3073688937
247	0.3067078394
248	0.3060456734
249	0.3053303205
250	0.3047255124
251	0.3039055228
252	0.3028121123
253	0.3021962989
254	0.3014430318
255	0.3008387498
256	0.3002000132
257	0.2998832931
258	0.2994674179
259	0.2986597995
260	0.2982669894
261	0.2975935562
262	0.2972071985
263	0.2967447234
264	0.2963216189
265	0.2956632807
266	0.2953764594
267	0.2948704634
268	0.294174282
269	0.2936333554
270	0.2927054653
271	0.292316217
272	0.2917139356
273	0.2910535246
274	0.2904732351
275	0.2895252762
276	0.2890124309
277	0.2881505177
278	0.2877921618
279	0.2872710519
280	0.2868036696
281	0.2861318784
282	0.2855597445
283	0.2852336673
284	0.2848446169
285	0.2844775061
286	0.2839631825
287	0.2831758053
288	0.2826277565
289	0.282168696
290	0.2816859552
291	0.2812665768
292	0.2806513031
293	0.2801768587
294	0.2796089187
295	0.2789375361
296	0.2786043835
297	0.2781175998
298	0.2778642442
299	0.2773899563
300	0.2764643811
301	0.2759135643
302	0.2755106784
303	0.2747111751
304	0.2744728417
305	0.2740543338
306	0.273771811
307	0.2731804335
308	0.272752826
309	0.2719875115
310	0.2714205328
311	0.2710152764
312	0.270733732
313	0.270410573
314	0.2699410244
315	0.2694511389
316	0.2689807912
317	0.2686041723
318	0.2682721607
319	0.2677485251
320	0.2673968599
321	0.2670432158
322	0.2666844949
323	0.2659841074
324	0.2657484009
325	0.265376431
326	0.2648344024
327	0.2644797571
328	0.2637632678
329	0.2634070098
330	0.2630059644
331	0.2625536008
332	0.2620000475
333	0.2616654928
334	0.2612249232
335	0.2605809469
336	0.2601594
337	0.2596855798
338	0.2593237536
339	0.2587568129
340	0.2582981793
341	0.2579466805
342	0.257518703
343	0.2570695782
344	0.2564571777
345	0.2561793256
346	0.2556565752
347	0.2550831948
348	0.2547854265
349	0.2542421023
350	0.2535564245
351	0.2529162871
352	0.2525061554
353	0.2518573129
354	0.2515211095
355	0.2513122656
356	0.2509886793
357	0.250359434
358	0.2500316475
359	0.2495500945
360	0.2491724876
361	0.248823424
362	0.2484368321
363	0.247903886
364	0.2473684718
365	0.2468818165
366	0.2464866238
367	0.2459551135
368	0.2455991133
369	0.2453118092
370	0.2448750761
371	0.2444511183
372	0.2440295509
373	0.2436630081
374	0.2429623204
375	0.2424269616
376	0.2418999887
377	0.2415434797
378	0.2412168383
379	0.2409465758
380	0.2405533371
381	0.2399958772
382	0.239708055
383	0.2395551448
384	0.2392100539
385	0.2386488683
386	0.2381797293
387	0.237826348
388	0.2375268006
389	0.2370629378
390	0.2365908007
391	0.2361221762
392	0.2357446006
393	0.2353731238
394	0.2348094813
395	0.234411487
396	0.2338763728
397	0.2334654087
398	0.2329850727
399	0.2324189499
400	0.2320886163
401	0.2317734481
402	0.2314872883
403	0.2309197708
404	0.2305611137
405	0.2302027623
406	0.2297740199
407	0.2294740582
408	0.2290800001
409	0.2288119945
410	0.2283833038
411	0.2280354693
412	0.2278308582
413	0.2275733699
414	0.2270354861
415	0.226663541
416	0.2260663578
417	0.2257729716
418	0.2253248523
419	0.2246458622
420	0.22408627
421	0.2236273626
422	0.2233107455
423	0.2227988356
424	0.2224039367
425	0.2220486398
426	0.2217213393
427	0.2213384396
428	0.2208131344
429	0.2205758119
430	0.2201645824
431	0.2196592761
432	0.2191281797
433	0.2188729539
434	0.2184460254
435	0.2181263776
436	0.2178853011
437	0.2175732765
438	0.2171128646
439	0.2166761413
440	0.2163067655
441	0.2158553958
442	0.2154314353
443	0.2149303577
444	0.2147324226
445	0.2143256774
446	0.2139852638
447	0.2137022853
448	0.2134623371
449	0.2131756383
450	0.2127878841
451	0.2123586054
452	0.2118696465
453	0.2116591435
454	0.2109698324
455	0.2105039646
456	0.210354816
457	0.2099350152
458	0.2095346607
459	0.2092684913
460	0.2088826905
461	0.2082813856
462	0.2078001814
463	0.2069621234
464	0.2064563573
465	0.2061302814
466	0.2057696137
467	0.2054480736
468	0.2048024842
469	0.2044592405
470	0.2042010464
471	0.2039409049
472	0.2036133788
473	0.2033418311
474	0.202995367
475	0.2025584881
476	0.2019116877
477	0.2015017848
478	0.201327282
479	0.2009680611
480	0.2006641911
481	0.2004140199
482	0.2001044833
483	0.1993901969
484	0.1991157335
485	0.1988262626
486	0.1983535165
487	0.1981035253
488	0.1977583844
489	0.1975356378
490	0.1968934672
491	0.1965658344
492	0.1962977718
493	0.1960151163
494	0.1956825294
495	0.1952825364
496	0.1949108258
497	0.1945627353
498	0.1942696348
499	0.1940436928
500	0.1936190999
501	0.1933774277
502	0.1928538876
503	0.1924372624
504	0.1921006941
505	0.1916959238
506	0.1914471934
507	0.1909770914
508	0.1905967154
509	0.1903778528
510	0.1900977417
511	0.1897810342
512	0.1894114223
513	0.1890066763
514	0.1886387705
515	0.1881484567
516	0.1877235964
517	0.1874168096
518	0.1871282542
519	0.1865882103
520	0.1861564291
521	0.1856999223
522	0.1853724222
523	0.1849844005
524	0.1846518626
525	0.1841887979
526	0.183955271
527	0.1835681132
528	0.1831125335
529	0.1827507381
530	0.1823981479
531	0.182155004
532	0.1815078354
533	0.181250369
534	0.1808615599
535	0.1805321894
536	0.180169123
537	0.1797279214
538	0.1794376882
539	0.1793594568
540	0.1789199713
541	0.1784386333
542	0.1781575826
543	0.1777290028
544	0.1773761684
545	0.1770816528
546	0.1767700672
547	0.1765028311
548	0.1760918362
549	0.1757793357
550	0.1752906648
551	0.1749470509
552	0.174686789
553	0.1743841831
554	0.1742008934
555	0.1738800059
556	0.1736637324
557	0.1733954818
558	0.1729654691
559	0.1726094655
560	0.1722072804
561	0.1718809204
562	0.1716626459
563	0.1713583836
564	0.1711556041
565	0.170796133
566	0.1704125479
567	0.1700460754
568	0.1696709995
569	0.1692722741
570	0.1688383425
571	0.1685922753
572	0.1682002716
573	0.1677733874
574	0.1674606244
575	0.1671122795
576	0.1666778163
577	0.1663231525
578	0.1661173753
579	0.1658712712
580	0.1656297094
581	0.1653271971
582	0.1649623322
583	0.1647028932
584	0.1643829499
585	0.1641657325
586	0.1637937072
587	0.1632383925
588	0.1628298671
589	0.1626357001
590	0.1622063851
591	0.1619216054
592	0.1616726868
593	0.1613819377
594	0.1611598318
595	0.1607803952
596	0.1604246031
597	0.1602621122
598	0.1601037193
599	0.159901941
600	0.1595892904
601	0.1593745278
602	0.1591586083
603	0.1588430741
604	0.1584997975
605	0.1583094844
606	0.1580682446
607	0.1576862456
608	0.1573831902
609	0.1569873006
610	0.1567261639
611	0.1565100867
612	0.1561756036
613	0.1559483685
614	0.1556471585
615	0.1554467967
616	0.1551013486
617	0.1547695894
618	0.1544331679
619	0.1542369232
620	0.1539973554
621	0.1537756733
622	0.153381853
623	0.1530668916
624	0.152787027
625	0.1526105723
626	0.152381477
627	0.1521894009
628	0.151914554
629	0.1516900618
630	0.1514444801
631	0.1511792007
632	0.1508906539
633	0.1505539056
634	0.150003635
635	0.1496262917
636	0.1494323133
637	0.1492006886
638	0.1488873765
639	0.1487252983
640	0.1484851105
641	0.1481437773
642	0.1478258685
643	0.1475146889
644	0.147320101
645	0.1470338053
646	0.1467115113
647	0.1463806969
648	0.1460770893
649	0.1458496134
650	0.145535115
651	0.1453851482
652	0.1451267712
653	0.1449129486
654	0.1447171844
655	0.1444506751
656	0.1441478954
657	0.1439431527
658	0.1436300692
659	0.1433992996
660	0.143215076
661	0.1429032365
662	0.142557307
663	0.1422039324
664	0.1419931227
665	0.1417327771
666	0.1415118876
667	0.1411149044
668	0.14088219
669	0.1407117653
670	0.1403414373
671	0.1401019298
672	0.1398411759
673	0.1395267632
674	0.1393875068
675	0.1390693191
676	0.1388773601
677	0.1386996423
678	0.1384914018
679	0.1382524823
680	0.137999897
681	0.1378023667
682	0.1376428189
683	0.1374276902
684	0.1371259092
685	0.1368617086
686	0.1366735279
687	0.1363868425
688	0.1361603241
689	0.1359552684
690	0.1357799577
691	0.1355152216
692	0.1353546317
693	0.135182531
694	0.135022829
695	0.134840727
696	0.1346677576
697	0.1343592894
698	0.1341671829
699	0.1339999514
700	0.1337770181
701	0.1335175756
702	0.1332277296
703	0.1330346768
704	0.132800865
705	0.1326246261
706	0.1324219903
707	0.1321091801
708	0.1319762058
709	0.1317715854
710	0.1316754484
711	0.1313917355
712	0.1311875897
713	0.1309979049
714	0.1306700282
715	0.1304823362
716	0.1302117806
717	0.130024623
718	0.1297790855
719	0.129557736
720	0.1292849279
721	0.1291662715
722	0.1288675717
723	0.1286823064
724	0.1284140657
725	0.128197024
726	0.1280192747
727	0.1278884917
728	0.1276556678
729	0.127260562
730	0.1270005832
731	0.1268673992
732	0.1266410782
733	0.1263684372
734	0.1261689285
735	0.1260019554
736	0.1257264247
737	0.1254657294
738	0.1251318778
739	0.1249150576
740	0.1246727376
741	0.1243856877
742	0.1240972857
743	0.1240145351
744	0.1238513154
745	0.1236521737
746	0.1234923957
747	0.1233415968
748	0.1230629438
749	0.1228907934
750	0.1227057847
751	0.1224864951
752	0.1222546861
753	0.1220290511
754	0.1219178981
755	0.1217586218
756	0.1214991238
757	0.1213195942
758	0.1210538766
759	0.1209176658
760	0.1208051815
761	0.1206175402
762	0.1204981348
763	0.1203701794
764	0.120146261
765	0.1199486009
766	0.1197422613
767	0.1195007126
768	0.1192389856
769	0.119055634
770	0.1189420957
771	0.1187163412
772	0.1185003506
773	0.1183845921
774	0.1182798719
775	0.1180982136
776	0.1179221201
777	0.1176856084
778	0.1174612402
779	0.1172634738
780	0.1169949997
781	0.1167583836
782	0.116558583
783	0.1163939354
784	0.1163054992
785	0.1161666931
786	0.1160049456
787	0.1157978115
788	0.1156211539
789	0.115460273
790	0.1152974589
791	0.1151462896
792	0.1148773967
793	0.1147680251
794	0.1145572964
795	0.114337845
796	0.1141973901
797	0.1140848252
798	0.1139148481
799	0.1138189788
800	0.1136630418
801	0.1134745232
802	0.1133994695
803	0.1131865838
804	0.1129891545
805	0.11270458
806	0.1124997709
807	0.1123184007
808	0.1122431871
809	0.1119583955
810	0.1117982369
811	0.111583994
812	0.1114558214
813	0.1113204665
814	0.1111600914
815	0.1108366385
816	0.1105557264
817	0.1104259337
818	0.1102915288
819	0.1102319861
820	0.1101054676
821	0.1099067143
822	0.1096818943
823	0.1095125066
824	0.1093435262
825	0.109149744
826	0.1089769616
827	0.108909254
828	0.1087622064
829	0.1085002203
830	0.1081819676
831	0.1080360506
832	0.1078731661
833	0.1077190475
834	0.107523203
835	0.1073120548
836	0.107045916
837	0.1069980633
838	0.106844845
839	0.1067587226
840	0.1066346911
841	0.1065015864
842	0.1063130158
843	0.1061771405
844	0.1059760826
845	0.1058465087
846	0.105765987
847	0.1055512146
848	0.1054249089
849	0.1052607454
850	0.1050963376
851	0.1049665405
852	0.1048235282
853	0.1046706166
854	0.1045831358
855	0.1044213321
856	0.104210321
857	0.1040002552
858	0.1038739542
859	0.1037099107
860	0.1035239599
861	0.1033139249
862	0.1031672954
863	0.1029759434
864	0.1027993139
865	0.1026980806
866	0.1025418224
867	0.1023880115
868	0.1023047742
869	0.1021709637
870	0.1020711775
871	0.1019407759
872	0.1018119186
873	0.1015800922
874	0.1013894448
875	0.1012788411
876	0.1011782334
877	0.1010186854
878	0.1007910739
879	0.1005696622
880	0.100439282
881	0.1002860148
882	0.1001503362
883	0.09999395524
884	0.09971520547
885	0.09948764154
886	0.09928744852
887	0.0990786424
888	0.09888414707
889	0.09877444122
890	0.09862135676
891	0.09843027007
892	0.09831878466
893	0.0981338083
894	0.09802717423
895	0.09787330227
896	0.09771422904
897	0.09755844806
898	0.09734838367
899	0.09723377933
900	0.09706513263
901	0.09694687442
902	0.09681852223
903	0.09668915753
904	0.09656753934
905	0.09637024827
906	0.0962489003
907	0.09614823999
908	0.096007577
909	0.09592033803
910	0.09577731008
911	0.09564096102
912	0.09556585742
913	0.09540960591
914	0.09525958142
915	0.09513235942
916	0.09505937531
917	0.09497641636
918	0.09490595107
919	0.09477248745
920	0.09464428745
921	0.09446455586
922	0.09433152986
923	0.0942012288
924	0.0941309822
925	0.09391391133
926	0.09375341846
927	0.09370260499
928	0.09357566124
929	0.09338202692
930	0.09317486705
931	0.0930012474
932	0.09287929753
933	0.09273974577
934	0.09255314634
935	0.09242207318
936	0.09230967708
937	0.09222571784
938	0.0921088256
939	0.09197233059
940	0.09180102757
941	0.09169560045
942	0.09152285128
943	0.09143326979
944	0.09126403477
945	0.09105727571
946	0.09087788221
947	0.09074693181
948	0.09059014382
949	0.09045323228
950	0.0902905898
951	0.09016060854
952	0.09000816892
953	0.08986885529
954	0.0896799811
955	0.08957201842
956	0.08943949208
957	0.08933501703
958	0.08919141571
959	0.08902205907
960	0.0888985584
961	0.08872069169
962	0.08857218071
963	0.08846043394
964	0.08824252055
965	0.08811543763
966	0.08798197848
967	0.0878033544
968	0.08769276758
969	0.08752171459
970	0.08741159862
971	0.08729071436
972	0.08715313813
973	0.08700282126
974	0.08683798124
975	0.08674612636
976	0.08660491799
977	0.08648211014
978	0.08637418882
979	0.08619795199
980	0.08600052048
981	0.08582969678
982	0.08572453203
983	0.08562820651
984	0.08544285664
985	0.08538342057
986	0.08527054687
987	0.08512985345
988	0.08499305054
989	0.08490863703
990	0.084710732
991	0.084565356
992	0.0845071718
993	0.08443446371
994	0.08435376598
995	0.08432359772
996	0.08424975654
997	0.08407213173
998	0.08393128913
999	0.08371835505
